T,Lbest,Lcur
1924.109483792191,217172.225655783986,242447.579047293257
1914.488936373230,217172.225655783986,259236.561366435839
1904.916491691364,217172.225655783986,240852.247916205670
1895.391909232907,217172.225655783986,237242.593395033677
1885.914949686742,217172.225655783986,251563.418367898499
1876.485374938309,217172.225655783986,252291.862371682626
1867.102948063617,216660.826463246485,262582.771273185033
1857.767433323299,216660.826463246485,252057.240549527429
1848.478596156682,216660.826463246485,255248.329103168246
1839.236203175899,216660.826463246485,262120.350362500554
1830.040022160019,216660.826463246485,265009.600114398811
1820.889822049219,216660.826463246485,246571.189017149038
1811.785372938973,216660.826463246485,262189.950049984793
1802.726446074278,216660.826463246485,240790.025365159847
1793.712813843907,216660.826463246485,243150.996531096724
1784.744249774687,216660.826463246485,260124.262399171712
1775.820528525814,216660.826463246485,258149.997290289699
1766.941425883185,216660.826463246485,270282.735796001856
1758.106718753769,216660.826463246485,223914.668349275686
1749.316185160000,216660.826463246485,243675.006885684648
1740.569604234200,216660.826463246485,242973.377109053225
1731.866756213029,205832.035499341408,266026.787350962928
1723.207422431964,205832.035499341408,224033.407137704402
1714.591385319804,205832.035499341408,238507.135832576168
1706.018428393205,205832.035499341408,255984.360267045675
1697.488336251239,205832.035499341408,251587.088476318982
1689.000894569983,205832.035499341408,249417.075044333818
1680.555890097133,205832.035499341408,254327.610606786475
1672.153110646647,205832.035499341408,247163.555151146516
1663.792345093414,205832.035499341408,249844.607491027447
1655.473383367947,205832.035499341408,240014.914710807090
1647.196016451107,205832.035499341408,259553.096571434813
1638.960036368851,205832.035499341408,258882.208267076989
1630.765236187007,205832.035499341408,234995.440652680642
1622.611410006072,205832.035499341408,235113.533719641855
1614.498352956042,205832.035499341408,237417.049201872316
1606.425861191261,205832.035499341408,262830.953425202577
1598.393731885305,205832.035499341408,237012.053365822067
1590.401763225879,205832.035499341408,235648.026082961820
1582.449754409749,205832.035499341408,222240.103915289656
1574.537505637701,205832.035499341408,242212.569161854917
1566.664818109512,205832.035499341408,244581.727293966716
1558.831494018965,205832.035499341408,236270.011287767265
1551.037336548870,205832.035499341408,255222.575658006361
1543.282149866125,199761.327293810202,238138.059919584804
1535.565739116795,199761.327293810202,242311.959843210032
1527.887910421211,199761.327293810202,220808.934348066308
1520.248470869105,199761.327293810202,228270.054916038731
1512.647228514759,199761.327293810202,251757.608088449691
1505.083992372186,199761.327293810202,240826.061544948898
1497.558572410325,199761.327293810202,229983.837732790795
1490.070779548273,199761.327293810202,230528.078245484474
1482.620425650531,199761.327293810202,217087.931772052514
1475.207323522279,199761.327293810202,255086.724447813205
1467.831286904667,199761.327293810202,234751.625497621688
1460.492130470144,199761.327293810202,233454.363898311276
1453.189669817793,199761.327293810202,232528.903700403171
1445.923721468704,199761.327293810202,252489.426195782376
1438.694102861361,199761.327293810202,230867.206953243905
1431.500632347054,199761.327293810202,225700.304186329304
1424.343129185319,199761.327293810202,232018.962069843023
1417.221413539392,199761.327293810202,222718.019862763700
1410.135306471695,199761.327293810202,212531.878850086097
1403.084629939337,199761.327293810202,237747.948693713610
1396.069206789640,199761.327293810202,214570.601399930107
1389.088860755691,199761.327293810202,215013.251202166808
1382.143416451913,199761.327293810202,223599.890573375538
1375.232699369653,199761.327293810202,251328.981951749156
1368.356535872805,199761.327293810202,226800.530044194544
1361.514753193441,199761.327293810202,225649.132629250904
1354.707179427474,199761.327293810202,229970.298374035308
1347.933643530336,199458.772624127945,223495.768613799679
