T,Lbest,Lcur
2327.837777361192,2009567.339910393115,2098912.020302225836
2316.198588474386,2009567.339910393115,2110309.083474087995
2304.617595532015,2009567.339910393115,2130933.030999775045
2293.094507554355,2009567.339910393115,2054562.170511557488
2281.629035016583,2009567.339910393115,2120662.257264081389
2270.220889841500,2009567.339910393115,2118184.338782817125
2258.869785392292,2009567.339910393115,2144699.508853813168
2247.575436465331,2009567.339910393115,2117885.242981574964
2236.337559283004,1964256.977223860100,1974756.385003053583
2225.155871486589,1964256.977223860100,2047382.006799033377
2214.030092129156,1964256.977223860100,2057539.546327573713
2202.959941668510,1960403.701557531487,1979161.587668727618
2191.945141960167,1958173.126623864518,2030458.630095398752
2180.985416250367,1958173.126623864518,2031483.660834547598
2170.080489169115,1937196.148976444732,1970154.562020573765
2159.230086723269,1937196.148976444732,2076737.132352933288
2148.433936289653,1937196.148976444732,2084466.041833587456
2137.691766608204,1937196.148976444732,1996653.574528894853
2127.003307775164,1937196.148976444732,2045030.445953307441
2116.368291236288,1937196.148976444732,2028440.557207586244
2105.786449780107,1937196.148976444732,2074823.863540457794
2095.257517531206,1937196.148976444732,1979211.639396867482
2084.781229943550,1937196.148976444732,2048780.472635777434
2074.357323793832,1937196.148976444732,1993383.933051134925
2063.985537174863,1937196.148976444732,1988878.321572700748
2053.665609488989,1927254.730974214152,1935867.230565520236
2043.397281441544,1920618.553419687552,2066100.546916597988
2033.180295034336,1920618.553419687552,2073235.599494863534
2023.014393559164,1920618.553419687552,1969387.078782992670
2012.899321591368,1920618.553419687552,1994935.335652035894
2002.834824983411,1920618.553419687552,2000011.395927969832
1992.820650858494,1920618.553419687552,1954555.487885647453
1982.856547604202,1920618.553419687552,1998401.310819393257
1972.942264866181,1909805.352558278479,1938455.422761636088
1963.077553541850,1902775.224665337475,1942398.944646018557
1953.262165774141,1902775.224665337475,1953969.412119379966
1943.495854945270,1902775.224665337475,2007207.255801134976
1933.778375670543,1902775.224665337475,1976027.215112577658
1924.109483792191,1902775.224665337475,1958883.193076222204
1914.488936373230,1902775.224665337475,1967123.239171506604
1904.916491691364,1902775.224665337475,1965352.506478760391
1895.391909232907,1894883.747442841996,2000879.645113401581
1885.914949686742,1894883.747442841996,1949234.646910141222
1876.485374938309,1894883.747442841996,1976208.869051624788
1867.102948063617,1894883.747442841996,1985399.992492623627
1857.767433323299,1860536.174070899375,1895535.388017454650
1848.478596156682,1860536.174070899375,1953052.091685391264
1839.236203175899,1860536.174070899375,1917143.553113315254
1830.040022160019,1806633.518296195427,1831491.281150049530
1820.889822049219,1806633.518296195427,1893656.223598627839
1811.785372938973,1806633.518296195427,1922233.146005268907
1802.726446074278,1806633.518296195427,1939402.942616255023
1793.712813843907,1806633.518296195427,1910694.229643344181
1784.744249774687,1806633.518296195427,1882959.684404740809
1775.820528525814,1806633.518296195427,1960184.724307024386
1766.941425883185,1806633.518296195427,1894655.166803746019
1758.106718753769,1806633.518296195427,1921668.888017770834
1749.316185160000,1806633.518296195427,1887502.177248697262
1740.569604234200,1806633.518296195427,1925090.848196500679
1731.866756213029,1806633.518296195427,1855878.742871783674
1723.207422431964,1806633.518296195427,1872541.946977455402
1714.591385319804,1806633.518296195427,1894833.812812829856
1706.018428393205,1806633.518296195427,1885713.997367825359
1697.488336251239,1806633.518296195427,1860404.680887616239
1689.000894569983,1806633.518296195427,1927431.421459560981
1680.555890097133,1806633.518296195427,1885672.193930022884
1672.153110646647,1806633.518296195427,1881740.640826852294
1663.792345093414,1806633.518296195427,1915757.802896504989
1655.473383367947,1783163.743527793325,1806683.447554305196
1647.196016451107,1776944.378558606142,1805718.190244951285
1638.960036368851,1776944.378558606142,1892042.829755054088
1630.765236187007,1776944.378558606142,1821485.735966815613
1622.611410006072,1747874.363678331953,1747874.363678331953
1614.498352956042,1726350.404800795484,1786947.045798638603
1606.425861191261,1726350.404800795484,1797306.390214989427
1598.393731885305,1726350.404800795484,1794203.364730092464
1590.401763225879,1726350.404800795484,1896803.058366341749
1582.449754409749,1726350.404800795484,1844322.489397017052
1574.537505637701,1726350.404800795484,1803821.440209495835
1566.664818109512,1726350.404800795484,1852439.146325818961
1558.831494018965,1726350.404800795484,1804959.084176730132
1551.037336548870,1726350.404800795484,1786860.239582523238
1543.282149866125,1726350.404800795484,1790931.346569339512
1535.565739116795,1726350.404800795484,1788795.937076443806
1527.887910421211,1726350.404800795484,1741683.963001062861
1520.248470869105,1726350.404800795484,1750631.267851526849
1512.647228514759,1720761.337660183432,1744447.447492261184
1505.083992372186,1720761.337660183432,1759535.703469391679
1497.558572410325,1720761.337660183432,1754765.710756134009
1490.070779548273,1720532.192771083908,1729962.961798218312
1482.620425650531,1720532.192771083908,1739515.465203876607
1475.207323522279,1628790.826843428891,1635172.870546387043
1467.831286904667,1628790.826843428891,1730250.657176441746
1460.492130470144,1628790.826843428891,1757345.348951600725
1453.189669817793,1628790.826843428891,1696848.556528133340
1445.923721468704,1627855.395554022398,1657316.067213117145
1438.694102861361,1627855.395554022398,1670430.366312155966
1431.500632347054,1627855.395554022398,1694100.497804006096
1424.343129185319,1627855.395554022398,1712734.063788129017
1417.221413539392,1627855.395554022398,1641040.196655825479
1410.135306471695,1593044.358299293322,1615769.667591351783
1403.084629939337,1593044.358299293322,1655995.136962181423
1396.069206789640,1593044.358299293322,1657381.597109059570
1389.088860755691,1593044.358299293322,1648130.303182254313
1382.143416451913,1593044.358299293322,1675571.547875723569
1375.232699369653,1593044.358299293322,1744841.194882485084
1368.356535872805,1593044.358299293322,1605135.802962092916
1361.514753193441,1578421.160209731897,1587852.869181358488
1354.707179427474,1578421.160209731897,1631033.903116040397
1347.933643530336,1578421.160209731897,1655255.192249152111
1341.193975312685,1578421.160209731897,1589372.881153315306
