T,Lbest,Lcur
3000.000000000000,370553.964039837883,4750601.170854208060
2998.500000000000,370553.964039837883,5397943.722955753095
2997.000750000000,370553.964039837883,5624853.389119820669
2995.502249625000,370553.964039837883,5649373.349616753869
2994.004498500188,370553.964039837883,5801649.281963545829
2992.507496250938,370553.964039837883,5757993.605385649949
2991.011242502813,370553.964039837883,6054181.889924488030
2989.515736881562,370553.964039837883,5788282.578627126291
2988.020979013122,370553.964039837883,5665321.626256534830
2986.526968523615,370553.964039837883,5911683.101960293949
2985.033705039354,370553.964039837883,5474404.283621331677
2983.541188186834,370553.964039837883,5714619.406543691643
2982.049417592741,370553.964039837883,5641028.302196707577
2980.558392883944,370553.964039837883,5589829.340310090221
2979.068113687502,370553.964039837883,5847671.657989527099
2977.578579630659,370553.964039837883,5806942.959425266832
2976.089790340844,370553.964039837883,5782404.381929948926
2974.601745445673,370553.964039837883,5841952.233365517110
2973.114444572951,370553.964039837883,6124894.101662933826
2971.627887350664,370553.964039837883,5989210.353571758606
2970.142073406989,370553.964039837883,5650948.131301562302
2968.657002370286,370553.964039837883,5798179.750004685484
2967.172673869101,370553.964039837883,5705496.974089955911
2965.689087532167,370553.964039837883,5819023.462257184088
2964.206242988401,370553.964039837883,5796725.927026789635
2962.724139866907,370553.964039837883,5852922.669620800763
2961.242777796973,370553.964039837883,5639364.980311636813
2959.762156408075,370553.964039837883,5890278.505324027501
2958.282275329871,370553.964039837883,5790298.105545239523
2956.803134192206,370553.964039837883,5810960.767230938189
2955.324732625111,370553.964039837883,5645662.536866565235
2953.847070258798,370553.964039837883,5635484.618710747920
2952.370146723669,370553.964039837883,5821708.080838180147
2950.893961650308,370553.964039837883,5659304.932402970269
2949.418514669483,370553.964039837883,5633781.983584580012
2947.943805412148,370553.964039837883,5669106.128368092701
2946.469833509442,370553.964039837883,5786398.116372560151
2944.996598592687,370553.964039837883,5820218.959449527785
2943.524100293391,370553.964039837883,5700997.850653213449
2942.052338243245,370553.964039837883,5701936.228604079224
2940.581312074123,370553.964039837883,5791613.348191402853
2939.111021418086,370553.964039837883,5731256.419419181533
2937.641465907378,370553.964039837883,5664335.939270919189
2936.172645174424,370553.964039837883,5812390.754517943598
2934.704558851837,370553.964039837883,5701689.613298933022
2933.237206572411,370553.964039837883,5916580.338858995587
2931.770587969125,370553.964039837883,5660513.283987335861
2930.304702675141,370553.964039837883,5676360.590381674469
2928.839550323803,370553.964039837883,5956050.391779195517
2927.375130548642,370553.964039837883,5753250.263502803631
2925.911442983368,370553.964039837883,5569656.528662391938
2924.448487261876,370553.964039837883,5733261.439941962250
2922.986263018245,370553.964039837883,5861942.827717891894
2921.524769886736,370553.964039837883,5764795.337537311018
2920.064007501793,370553.964039837883,5644333.221327248029
2918.603975498042,370553.964039837883,5557987.524740646593
2917.144673510293,370553.964039837883,5492296.526031484827
2915.686101173538,370553.964039837883,5731542.191728651524
2914.228258122952,370553.964039837883,5708050.610323554836
2912.771143993890,370553.964039837883,5780337.287677054293
2911.314758421894,370553.964039837883,5630506.491954226978
2909.859101042683,370553.964039837883,5516477.882509949617
2908.404171492162,370553.964039837883,5660936.709731809795
2906.949969406416,370553.964039837883,5671804.505174902268
2905.496494421713,370553.964039837883,5796618.818737644702
2904.043746174502,370553.964039837883,5640000.739388229325
2902.591724301415,370553.964039837883,5752239.306203474291
2901.140428439264,370553.964039837883,5648516.113618385978
2899.689858225045,370553.964039837883,5770923.767470893450
2898.240013295932,370553.964039837883,5820020.154518370517
2896.790893289285,370553.964039837883,5719992.904408805072
2895.342497842640,370553.964039837883,5573253.999146777205
2893.894826593719,370553.964039837883,5548255.498848580755
2892.447879180422,370553.964039837883,5752247.891708364710
2891.001655240832,370553.964039837883,5861502.409077884629
2889.556154413212,370553.964039837883,5744865.394964633510
2888.111376336005,370553.964039837883,5741388.394258097745
2886.667320647837,370553.964039837883,5604116.525554366410
2885.223986987513,370553.964039837883,5517647.750235889107
2883.781374994020,370553.964039837883,5570393.225474362262
2882.339484306523,370553.964039837883,5816210.004655078985
2880.898314564370,370553.964039837883,5594548.755992125720
2879.457865407088,370553.964039837883,5712486.307666297071
2878.018136474384,370553.964039837883,5606769.039324626327
2876.579127406148,370553.964039837883,5720719.841564549133
2875.140837842445,370553.964039837883,5636420.710206635296
2873.703267423524,370553.964039837883,5471510.172219582833
2872.266415789812,370553.964039837883,5617622.981818041764
2870.830282581917,370553.964039837883,5778224.533986591734
2869.394867440627,370553.964039837883,5715418.854546382092
2867.960170006907,370553.964039837883,5767529.593592153862
2866.526189921903,370553.964039837883,5473875.919805254787
2865.092926826942,370553.964039837883,5696964.798417376354
2863.660380363529,370553.964039837883,5573010.357193988748
2862.228550173347,370553.964039837883,5434957.451554210857
2860.797435898261,370553.964039837883,5666532.028527989984
2859.367037180311,370553.964039837883,5438342.573405122384
2857.937353661721,370553.964039837883,5410433.282448494807
2856.508384984891,370553.964039837883,5427869.880252828822
2855.080130792398,370553.964039837883,5526278.682947187684
2853.652590727002,370553.964039837883,5643353.909444547258
2852.225764431639,370553.964039837883,5412992.251369222067
2850.799651549423,370553.964039837883,5727121.715658488683
2849.374251723649,370553.964039837883,5585724.144438912161
2847.949564597787,370553.964039837883,5674824.950351472013
2846.525589815488,370553.964039837883,5561348.851909738034
2845.102327020581,370553.964039837883,5322281.546097737737
2843.679775857071,370553.964039837883,5434735.600539532490
2842.257935969142,370553.964039837883,5507198.082846393809
2840.836807001158,370553.964039837883,5784037.431493367068
2839.416388597658,370553.964039837883,5522434.816880121827
2837.996680403359,370553.964039837883,5407089.494317995384
2836.577682063157,370553.964039837883,5485459.747709807009
2835.159393222126,370553.964039837883,5644390.830459413119
2833.741813525515,370553.964039837883,5587952.367791844532
2832.324942618752,370553.964039837883,5452730.927925631404
2830.908780147443,370553.964039837883,5488127.282365075313
2829.493325757369,370553.964039837883,5502299.457393827848
2828.078579094491,370553.964039837883,5472741.826156847179
2826.664539804944,370553.964039837883,5487620.174464509822
2825.251207535042,370553.964039837883,5606083.659971921705
2823.838581931274,370553.964039837883,5306016.216496108100
2822.426662640309,370553.964039837883,5487835.010498478077
2821.015449308989,370553.964039837883,5506993.570492669009
2819.604941584334,370553.964039837883,5401250.636959509924
2818.195139113542,370553.964039837883,5462770.195698502474
2816.786041543985,370553.964039837883,5289447.135149061680
2815.377648523214,370553.964039837883,5427446.764096239582
2813.969959698952,370553.964039837883,5351518.931841344573
2812.562974719103,370553.964039837883,5643384.183849990368
2811.156693231743,370553.964039837883,5356288.477842615917
2809.751114885128,370553.964039837883,5505917.302216113545
2808.346239327685,370553.964039837883,5514132.201979483478
2806.942066208022,370553.964039837883,5359104.907705107704
2805.538595174918,370553.964039837883,5503500.828987817280
2804.135825877331,370553.964039837883,5651203.318736459129
2802.733757964392,370553.964039837883,5655422.492150386795
2801.332391085410,370553.964039837883,5677342.283577780239
2799.931724889867,370553.964039837883,5565526.898983538151
2798.531759027423,370553.964039837883,5558091.512958617881
2797.132493147909,370553.964039837883,5483843.850794914179
2795.733926901335,370553.964039837883,5501632.007903001271
2794.336059937884,370553.964039837883,5683758.163382203318
2792.938891907916,370553.964039837883,5591785.670297799632
2791.542422461962,370553.964039837883,5563546.891890887171
2790.146651250731,370553.964039837883,5759966.060378870927
2788.751577925106,370553.964039837883,5773722.084280834533
2787.357202136143,370553.964039837883,5491762.983597273938
2785.963523535075,370553.964039837883,5321793.492922456935
2784.570541773308,370553.964039837883,5319354.758478982374
2783.178256502421,370553.964039837883,5318545.365565200336
2781.786667374171,370553.964039837883,5536932.848872480914
2780.395774040484,370553.964039837883,5499449.637421393767
2779.005576153464,370553.964039837883,5467132.001843371429
2777.616073365387,370553.964039837883,5486370.587263413705
2776.227265328705,370553.964039837883,5404498.005867960863
2774.839151696041,370553.964039837883,5332605.734855052084
2773.451732120192,370553.964039837883,5537906.370962872170
2772.065006254133,370553.964039837883,5605986.459223683923
2770.678973751006,370553.964039837883,5553734.661224731244
2769.293634264131,370553.964039837883,5656890.433902149089
2767.908987446999,370553.964039837883,5686283.977219775319
2766.525032953276,370553.964039837883,5581866.314663319848
2765.141770436799,370553.964039837883,5391233.427486264147
2763.759199551581,370553.964039837883,5656403.564348424785
2762.377319951805,370553.964039837883,5278373.754074722528
2760.996131291829,370553.964039837883,5277458.855389478616
2759.615633226183,370553.964039837883,5281323.019906201400
2758.235825409571,370553.964039837883,5473827.488998844288
2756.856707496866,370553.964039837883,5388403.107811924070
2755.478279143118,370553.964039837883,5589945.117908252403
2754.100540003546,370553.964039837883,5539949.034998638555
2752.723489733544,370553.964039837883,5275876.611999039538
2751.347127988678,370553.964039837883,5394735.028093657456
2749.971454424684,370553.964039837883,5455411.484920882620
2748.596468697471,370553.964039837883,5778836.253520885482
2747.222170463122,370553.964039837883,5484236.274352388456
2745.848559377891,370553.964039837883,5486843.170979458839
2744.475635098202,370553.964039837883,5589021.556072289124
2743.103397280653,370553.964039837883,5377202.753466542810
2741.731845582013,370553.964039837883,5635489.725355144590
2740.360979659222,370553.964039837883,5313370.808495034464
2738.990799169392,370553.964039837883,5324406.793242064305
2737.621303769808,370553.964039837883,5309562.292260784656
2736.252493117923,370553.964039837883,5391266.547514008358
2734.884366871364,370553.964039837883,5414487.601973216981
2733.516924687928,370553.964039837883,5489848.599813770503
2732.150166225584,370553.964039837883,5404682.199053526856
2730.784091142471,370553.964039837883,5454273.906136532314
2729.418699096900,370553.964039837883,5427356.784884353168
2728.053989747352,370553.964039837883,5380406.356849503703
2726.689962752478,370553.964039837883,5462808.287772022188
2725.326617771102,370553.964039837883,5525291.055377021432
